id,brand,name,display_size,main_camera,selfie_camera,chipset,storage_and_ram,battary,price
688,Amoi,E860,"['2.8', 'inches,', '24.3', 'cm2']","['Single', '2', 'MP']","['NaN', 'No']",NaN,['50MB'],"['Removable', 'Li-Ion', '1150', 'mAh', 'battery']",NaN
689,Amoi,F320,"['1.5', 'inches,', '7.3', 'cm2']","['Single', 'VGA']","['NaN', 'No']",NaN,NaN,"['Removable', 'Li-Ion', '720', 'mAh', 'battery']",NaN
690,Amoi,F620,"['1.5', 'inches,', '7.3', 'cm2']","['Single', 'VGA']","['NaN', 'No']",NaN,NaN,"['Removable', 'Li-Ion', '720', 'mAh', 'battery']",NaN
691,Amoi,F99b,['NaN'],NaN,NaN,NaN,NaN,"['Removable', 'Li-Ion', '860', 'mAh', 'battery']",NaN
692,Amoi,H8,"['2.0', 'inches,', '12.6', 'cm2']","['Single', '1.3', 'MP']","['NaN', 'No']",NaN,NaN,"['Removable', 'Li-Ion', '720', 'mAh', 'battery']",NaN
693,Amoi,H80,"['2.0', 'inches,', '12.6', 'cm2']","['Single', '1.3', 'MP']","['NaN', 'No']",NaN,NaN,"['Removable', 'Li-Ion', '720', 'mAh', 'battery']",NaN
694,Amoi,H801,"['2.0', 'inches,', '12.6', 'cm2']","['Single', '1.3', 'MP']","['NaN', 'No']",NaN,NaN,"['Removable', 'Li-Ion', '720', 'mAh', 'battery']",NaN
695,Amoi,H802,"['2.0', 'inches,', '12.6', 'cm2']","['Single', '1.3', 'MP']","['NaN', 'No']",NaN,NaN,"['Removable', 'Li-Ion', '720', 'mAh', 'battery']",NaN
696,Amoi,H810,"['2.0', 'inches,', '12.6', 'cm2']","['Single', '1.3', 'MP']","['NaN', 'No']",NaN,NaN,"['Removable', 'Li-Ion', '720', 'mAh', 'battery']",NaN
697,Amoi,H812,"['2.0', 'inches,', '12.6', 'cm2']","['Single', '1.3', 'MP']","['NaN', 'No']",NaN,NaN,"['Removable', 'Li-Ion', '720', 'mAh', 'battery']",NaN
698,Amoi,H815,"['2.0', 'inches,', '12.6', 'cm2']","['Single', '1.3', 'MP']","['NaN', 'No']",NaN,NaN,"['Removable', 'Li-Ion', '720', 'mAh', 'battery']",NaN
699,Amoi,M33,"['1.8', 'inches,', '10.2', 'cm2']","['Single', 'VGA']","['NaN', 'No']",NaN,NaN,"['Removable', 'Li-Ion', '700', 'mAh', 'battery']",NaN
700,Amoi,M360,"['1.8', 'inches,', '10.2', 'cm2']","['Single', 'VGA']","['NaN', 'No']",NaN,NaN,"['Removable', 'Li-Ion', '720', 'mAh', 'battery']",NaN
701,Amoi,M630,"['2.0', 'inches,', '12.6', 'cm2']","['Single', '1.3', 'MP']","['NaN', 'No']",NaN,NaN,"['Removable', 'Li-Ion', '720', 'mAh', 'battery']",NaN
702,Amoi,M636,"['2.0', 'inches,', '12.6', 'cm2']","['Single', '2', 'MP']","['NaN', 'No']",NaN,NaN,"['Removable', 'Li-Ion', '720', 'mAh', 'battery']",NaN
703,Amoi,M650,"['1.8', 'inches,', '10.2', 'cm2']","['Single', '1.3', 'MP']","['NaN', 'No']",NaN,NaN,"['Removable', 'Li-Ion', '720', 'mAh', 'battery']",NaN
704,Amoi,S6,['NaN'],NaN,NaN,NaN,NaN,"['Removable', 'Li-Ion', '860', 'mAh', 'battery']",NaN
705,Amoi,V810,"['2.0', 'inches,', '12.6', 'cm2']","['Single', '1.3', 'MP']","['NaN', 'No']",NaN,NaN,"['Removable', 'Li-Ion', '720', 'mAh', 'battery']",NaN
706,Amoi,WMA8508,"['2.0', 'inches,', '12.6', 'cm2']","['Single', '1.3', 'MP']","['NaN', 'No']",NaN,NaN,"['Removable', 'Li-Ion', '780', 'mAh', 'battery']",NaN
707,Amoi,WMA8701A,"['2.2', 'inches,', '15.0', 'cm2']","['Single', '2', 'MP']","['Single', 'VGA', 'videocall', 'camera']",NaN,NaN,"['Removable', 'Li-Ion', '820', 'mAh', 'battery']",NaN
708,Amoi,WMA8703,"['2.2', 'inches,', '15.0', 'cm2']","['Single', '3.15', 'MP']","['Single', 'VGA', 'videocall', 'camera']",NaN,NaN,"['Removable', 'Li-Ion', '920', 'mAh', 'battery']",NaN
709,Apple,iPad 10.2,"['10.2', 'inches,', '324.6', 'cm2']","['Single', '8', 'MP,', 'f/2.4,', '31mm', '(standard),', '1.12µm,', 'AF']","['Single', '1.2', 'MP,', 'f/2.2,', '31mm', '(standard)']","['Apple', 'A10', 'Fusion', '(16', 'nm)']","['32GB', '3GB', 'RAM,', '128GB', '3GB', 'RAM']","['Non-removable', 'Li-Po', '8827', 'mAh', 'battery', '(32.9', 'Wh)']",NaN
